Ticker,Total Revenue,Net Income,Total Assets,Total Liabilities,Stockholders Equity,Current Assets,Current Liabilities,Free Cash Flow,Rev Growth (%),Net Margin (%),Cash Cycle (Days),Current Ratio,Debt Ratio
AAPL,143756.0,42097.0,379297.0,291107.0,88190.0,158104.0,162367.0,51552.0,40.3,29.28,193.46,0.97,0.77
TSLA,24901.0,840.0,137806.0,54941.0,82137.0,68642.0,31714.0,1420.0,-11.37,3.37,248.72,2.16,0.4
