Date,Total Revenue,Net Income,Total Assets,Total Liabilities,Stockholders Equity,Current Assets,Current Liabilities,Free Cash Flow,Rev Growth (%),Net Margin (%),Cash Cycle (Days),Current Ratio
2024-12-31,25707.0,2314.0,122070.0,48390.0,72913.0,58360.0,28821.0,2034.0,,9.0,233.35,2.02
2025-03-31,19335.0,409.0,125111.0,49693.0,74653.0,59389.0,29753.0,664.0,-24.79,2.12,330.13,2.0
2025-06-30,22496.0,1172.0,128567.0,50495.0,77314.0,61133.0,30008.0,146.0,16.35,5.21,298.67,2.04
2025-09-30,28095.0,1373.0,133735.0,53019.0,79970.0,64653.0,31290.0,3990.0,24.89,4.89,220.58,2.07
2025-12-31,24901.0,840.0,137806.0,54941.0,82137.0,68642.0,31714.0,1420.0,-11.37,3.37,248.72,2.16
