Date,Net Income,Total Revenue,Profit Margin
2025-09-30,112010000000.0,416161000000.0,0.2691506412181824
2024-09-30,93736000000.0,391035000000.0,0.23971255769943867
2023-09-30,96995000000.0,383285000000.0,0.2530623426432028
2022-09-30,99803000000.0,394328000000.0,0.2530964070519973
2021-09-30,,,
