Date,Total Revenue,Gross Profit,Net Income,Total Assets,Total Liabilities Net Minority Interest,Stockholders Equity,Inventory,Receivables,Current Assets,Current Liabilities,Free Cash Flow,Revenue Growth (%),Net Margin (%),Current Ratio
2024-12-31,124300.0,58275.0,36330.0,344085.0,277327.0,66758.0,6911.0,59306000000.0,133240.0,144365.0,26995.0,,29.23,0.92
2025-03-31,95359.0,44867.0,24780.0,331233.0,264437.0,66796.0,6269.0,49798000000.0,118674.0,144571.0,20881.0,-23.28,25.99,0.82
2025-06-30,94036.0,43718.0,23434.0,331495.0,265665.0,65830.0,5925.0,46835000000.0,122491.0,141120.0,24405.0,-1.39,24.92,0.87
2025-09-30,102466.0,48341.0,27466.0,359241.0,285508.0,73733.0,5718.0,72957000000.0,147957.0,165631.0,26486.0,8.96,26.8,0.89
2025-12-31,143756.0,69231.0,42097.0,379297.0,291107.0,88190.0,5875.0,70320000000.0,158104.0,162367.0,51552.0,40.3,29.28,0.97
