Date,Total Revenue,Gross Profit,Net Income,Total Assets,Total Liabilities Net Minority Interest,Stockholders Equity,Inventory,Current Assets,Current Liabilities,Free Cash Flow,Revenue Growth (%),Net Margin (%),Current Ratio
2024-12-31,66281.0,6834.0,928.0,387609.0,207441.0,178307.0,23426.0,127926.0,95034.0,6678.0,,1.4,1.35
2025-03-31,69234.0,12706.0,4780.0,389248.0,208576.0,178816.0,22984.0,126654.0,96080.0,5533.0,4.46,6.9,1.32
2025-06-30,65406.0,9728.0,3601.0,387920.0,204833.0,181136.0,23283.0,121597.0,92019.0,6487.0,-5.53,5.51,1.32
2025-09-30,68153.0,11576.0,5322.0,377738.0,199915.0,175824.0,22913.0,121176.0,89621.0,7650.0,4.2,7.81,1.35
2025-12-31,64093.0,7280.0,4134.0,370350.0,195031.0,174392.0,22216.0,107173.0,82415.0,4189.0,-5.96,6.45,1.3
